Variable,Coefficient,P-value,Std Err
const,0.15526551516947146,1.3004690426548881e-09,0.02457569529063637
total_bill,-0.002806433259298437,3.6965673387811704e-07,0.0005364454397105309
sex,0.004687329349523763,0.5552600530755569,0.007934724172384012
smoker,0.011878731445143651,0.13327241813598525,0.007885024001403791
day,0.011417746130699496,0.0929083650071755,0.006767854309849968
time,-0.021166783261287146,0.22224077335611755,0.017295868314687678
size,0.00629670083359868,0.21060335088785878,0.005016061353046158
