model,rmse,r2
Decision Tree,3422.249851834437,0.8516443181145499
Bagging,1919.6986122982255,0.9533182789399907
Random Forest,1910.9249152867244,0.9537440075743022
Gradient Boosting,2285.795662103608,0.9338156107242567
Neural Network,7343.224460270744,0.31694706105584936
